,Column 1,Column 2,Column 3,Column 4,Column 5
symbol06symbol07symbol12,0,0,0,1,0
symbol06symbol09symbol03,0,0,1,0,0
symbol06symbol09symbol04,0,0,1,0,1
symbol06symbol09symbol05,0,0,1,0,0
symbol06symbol09symbol07,0,0,1,0,0
symbol06symbol09symbol08,0,0,0,1,0
symbol06symbol09symbol09,0,1,0,0,0
symbol06symbol09symbol12,0,0,0,1,0
symbol06symbol11symbol03,0,0,1,0,0
symbol06symbol11symbol04,0,1,0,0,0
symbol06symbol11symbol09,0,0,1,0,1
symbol06symbol12symbol03,0,0,1,0,0
symbol06symbol12symbol04,0,0,1,0,0
symbol06symbol12symbol07,1,0,0,0,0
symbol07symbol03symbol03,0,0,1,1,2
symbol07symbol03symbol04,0,0,1,2,0
symbol07symbol03symbol07,0,0,0,1,0
symbol07symbol03symbol09,0,0,0,0,1
symbol07symbol03symbol11,0,0,0,0,1
symbol07symbol04symbol03,0,0,0,1,0
symbol07symbol04symbol07,0,0,0,0,3
symbol07symbol05symbol05,0,0,0,1,0
symbol07symbol05symbol06,0,0,1,0,0
symbol07symbol06symbol05,0,0,0,1,0
symbol07symbol06symbol06,0,0,1,0,0
symbol07symbol06symbol09,0,0,1,0,1
symbol07symbol06symbol10,0,0,1,0,0
symbol07symbol07symbol03,1,0,0,0,0
symbol07symbol07symbol04,1,0,0,1,1
symbol07symbol07symbol06,0,0,1,0,0
symbol07symbol08symbol06,0,1,0,0,0
symbol07symbol08symbol07,0,0,1,0,0
symbol07symbol08symbol11,1,0,0,0,0
symbol07symbol09symbol04,1,0,0,0,1
symbol07symbol09symbol05,2,0,0,0,1
symbol07symbol09symbol06,0,0,0,1,1
symbol07symbol09symbol07,2,0,1,0,0
symbol07symbol09symbol08,0,0,0,0,1
symbol07symbol09symbol09,0,0,0,0,1
symbol07symbol10symbol09,0,1,0,0,0
symbol07symbol11symbol03,0,0,1,0,0
symbol07symbol11symbol11,0,0,0,0,1
symbol08symbol03symbol03,0,0,0,0,1
symbol08symbol03symbol04,1,1,0,0,0
symbol08symbol03symbol06,0,0,0,0,1
symbol08symbol03symbol08,0,0,1,0,0
symbol08symbol04symbol03,0,1,0,1,1
symbol08symbol04symbol04,0,1,0,0,0
symbol08symbol06symbol03,0,1,0,0,0
symbol08symbol07symbol08,0,1,1,0,0
symbol08symbol08symbol05,0,1,0,0,0
symbol08symbol11symbol03,0,0,0,0,1
symbol08symbol11symbol05,1,0,0,0,0
symbol08symbol12symbol11,0,1,0,0,0
symbol09symbol03symbol03,1,0,0,0,0
symbol09symbol03symbol04,0,1,0,0,2
symbol09symbol03symbol08,1,0,0,0,0
symbol09symbol03symbol09,0,1,0,1,0
symbol09symbol04symbol03,0,0,0,0,1
symbol09symbol04symbol04,0,1,0,0,0
symbol09symbol04symbol05,1,0,0,0,0
symbol09symbol04symbol06,0,1,0,0,0
symbol09symbol04symbol07,1,0,0,0,0
symbol09symbol04symbol08,1,0,0,0,0
symbol09symbol05symbol04,0,1,1,0,0
symbol09symbol05symbol05,0,0,0,1,0
symbol09symbol05symbol06,0,0,0,1,0
symbol09symbol05symbol09,0,0,1,0,1
symbol09symbol05symbol10,1,0,0,0,0
symbol09symbol05symbol12,0,2,0,0,0
symbol09symbol06symbol03,1,0,0,0,0
symbol09symbol06symbol04,0,1,0,0,0
symbol09symbol06symbol07,0,1,0,0,0
symbol09symbol06symbol08,0,0,0,1,0
symbol09symbol06symbol09,0,0,0,1,0
symbol09symbol06symbol11,0,0,0,0,1
symbol09symbol07symbol03,0,0,0,0,1
symbol09symbol07symbol04,0,0,1,1,0
symbol09symbol07symbol05,0,0,1,1,0
symbol09symbol07symbol06,1,0,0,0,0
